Box #,Assay#,Depth,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Average GR,Std,CPS,Comments
,9246,198.1,0.6,0.9,1,19.2,20.8,9247,0.6,0.7,1.5,19.1,21.2,9248,0.6,1,1.2,20.3,22.4,9249,0.5,0.8,0.7,16.3,17.2,20.4,2.239,,
,9250,198.4,0.5,1.1,0.6,18,19.2,9251,0.5,1,0.7,16.5,18.8,9252,0.5,0.8,0.8,16.1,17.6,9253,0.5,1.2,0.6,17.5,20,18.9,1,,
,9254,198.7,0.5,1,1.1,18.5,20.4,9256,0.5,0.9,0.9,16.7,18.8,9257,0.5,0.9,0.3,13.8,16.4,9258,0.6,0.7,0.9,16.6,18.8,18.6,1.649,,
,9259,199,0.4,0.9,1.1,15.9,18,9260,0.5,0.6,1.4,15.4,18.4,9261,0.5,0.7,0.7,14.3,16.4,9262,0.5,1.1,0.2,16,17.6,17.6,0.864,,
,9263,199.3,0.5,0.8,1.3,17.2,19.6,9264,0.5,1.1,0.3,16.3,18,9265,0.5,0.9,0.9,15.9,18.8,9266,0.5,0.9,0.6,16.2,17.6,18.5,0.887,,
,9267,199.6,0.5,0.8,0.9,15.9,18,9268,0.4,0.9,1,16.1,17.6,9269,0.5,1.2,0.9,19.3,21.2,9270,0.6,1.3,0.9,21.4,23.6,20.1,2.835,,
,9271,199.9,0.5,1.3,0.6,17.9,20.8,9272,0.5,0.9,1,16.8,19.2,9273,0.4,1.2,0.7,16.7,18.8,9274,0.5,0.9,0.5,15.4,17.2,19,1.479,,
,9275,200.2,0.6,1,0.6,18.1,20,9276,0.6,1,1.2,19.9,22.4,9277,0.6,1.2,1,20.7,23.2,9278,0.7,1.2,1.2,22.6,25.6,22.8,2.309,,
,9279,200.5,0.5,1.2,0.9,18,21.2,9280,0.4,1.1,0.8,16.2,18.4,9281,0.4,1.1,0.7,16.3,18,9282,0.4,0.8,0.9,15.1,16.4,18.5,1.997,,
,9283,200.8,0.5,1.1,0.7,16.6,19.6,9284,0.5,0.7,1.2,17.1,18.4,9285,0.5,0.9,0.6,15.4,17.6,9286,0.6,0.6,0.9,15.9,18,18.4,0.864,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9287,201.1,0.6,1.1,1,19.8,22.4,9288,0.5,0.7,1.2,16.6,18.4,9289,0.6,1.2,0.8,20.4,22.4,9290,0.6,1.1,0.5,17.7,20.4,20.9,1.915,,
,9291,201.4,0.5,0.9,0.6,15.5,17.6,9292,0.5,1,0.5,16.2,18,9293,0.5,1.2,1,18.6,21.6,9294,0.5,0.6,0.8,14.2,16,18.3,2.364,,
